DATAFLOW,FREQ: Frequency,TIME_PERIOD: Time,GEO_PICT: Pacific Island Countries and territories,DRILLDOWN: Drilldown level,UNIT_ID: Unit identifier,INDICATOR: Indicator,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment,FACNAME: Facility name,FACTYPE: Facility type,LATITUDE: Latitude,LONGITUDE: Longitude,HEALTHSTAFF: Health staff,DOCTORS: Doctors,MIDW: Midwives,NURSES: Nurses,NURSEAIDS: Nurse aides,PHARMAOT: Pharmacy officer techician,PHARMACIST: Pharmacist,MICROSCOPIST: Microscopist,OTHERHS: Other health staff,CATCHPOP: Catchment population,VACC: Vaccination,NEWBORN: Newborn care,STI: STI treatment,TB: Tuberculosis treatment,MALARIA: Malaria treatment,XRAY: X-ray machine,BEDS: Inpatient beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-1: Choiseul,DD: Drilldown,ID000446: ID000446,NFAC: Number of facilities,1,N: units,,,,,Nuatabu not on the MHMS map,Clinic,-7.13353837,157.1587955,1,0,0,1,0,0,0,0,0,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-1: Choiseul,DD: Drilldown,ID000450: ID000450,NFAC: Number of facilities,1,N: units,,,,,Papara,Clinic,-7.16046402,156.8685992,1,0,0,1,0,0,0,0,0,1000,Weekly,Yes,Yes,No,Yes,No,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-1: Choiseul,DD: Drilldown,ID000437: ID000437,NFAC: Number of facilities,1,N: units,,,,,Bangara,Aid post,-6.78861528,156.8114621,1,0,0,1,0,0,0,0,0,1350,Weekly,Yes,Yes,No,Yes,No,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-1: Choiseul,DD: Drilldown,ID000451: ID000451,NFAC: Number of facilities,1,N: units,,,,,Polo,Clinic,-6.6878389,156.6508568,1,0,0,1,0,0,0,0,0,1500,Weekly,Yes,Yes,No,Yes,No,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-1: Choiseul,DD: Drilldown,ID000438: ID000438,NFAC: Number of facilities,1,N: units,,,,,Boboe,Aid post,-7.40410052,157.3778076,1,0,0,0,1,0,0,0,0,650,Weekly,Yes,Yes,No,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-1: Choiseul,DD: Drilldown,ID000458: ID000458,NFAC: Number of facilities,1,N: units,,,,,Taro,Hospital,-6.7134447,156.3982012,44,1,6,19,1,2,0,2,13,2121,Weekly,Yes,Yes,Yes,Yes,Yes,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-1: Choiseul,DD: Drilldown,ID000443: ID000443,NFAC: Number of facilities,1,N: units,,,,,Luti,Aid post,-7.23810205,156.9871644,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-1: Choiseul,DD: Drilldown,ID000439: ID000439,NFAC: Number of facilities,1,N: units,,,,,Choisuel Bay,Aid post,-6.69530742,156.4105805,0,0,0,0,0,0,0,0,0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-1: Choiseul,DD: Drilldown,ID000456: ID000456,NFAC: Number of facilities,1,N: units,,,,,Soranamola,Aid post,-6.89403376,156.9865276,2,0,0,0,1,0,0,1,0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-1: Choiseul,DD: Drilldown,ID000454: ID000454,NFAC: Number of facilities,1,N: units,,,,,Sepa,Aid post,-7.10976984,156.8202787,1,0,0,0,1,0,0,0,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-1: Choiseul,DD: Drilldown,ID000441: ID000441,NFAC: Number of facilities,1,N: units,,,,,Loimuni,Aid post,-6.61859836,156.4201568,0,0,0,0,0,0,0,0,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-1: Choiseul,DD: Drilldown,ID000455: ID000455,NFAC: Number of facilities,1,N: units,,,,,Sirovanga,Clinic,-6.64837038,156.5508235,2,0,0,1,0,0,0,1,0,1500,Weekly,Yes,Yes,No,Yes,No,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000733: ID000733,NFAC: Number of facilities,1,N: units,,,,,Guns (in old Gizo hospital),Community health centre,-8.10543676,156.8460964,7,,1,2,4,,,,,4000,Weekly,No,Yes,Yes,Yes,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000763: ID000763,NFAC: Number of facilities,1,N: units,,,,,Paradise,Clinic,-8.01228075,157.3899404,2,0,0,1,1,0,0,0,0,3000,Weekly,Yes,Yes,No,Yes,No,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000767: ID000767,NFAC: Number of facilities,1,N: units,,,,,Rarumana,Aid post,-8.20434856,157.012488,1,0,0,,1,0,0,0,0,1500,Other,Yes,Yes,,Yes,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000720: ID000720,NFAC: Number of facilities,1,N: units,,,,,Baniata,Aid post,-8.63312441,157.2652097,1,0,0,0,1,0,0,0,0,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000776: ID000776,NFAC: Number of facilities,1,N: units,,,,,Toumoa,Clinic,-6.98057994,156.0777472,0,0,0,0,0,0,0,0,0,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000780: ID000780,NFAC: Number of facilities,1,N: units,,,,,Vanga,Aid post,-7.9105449,156.9619234,1,0,0,0,1,0,0,0,0,600,Monthly,Yes,Yes,No,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000721: ID000721,NFAC: Number of facilities,1,N: units,,,,,Batuna,Clinic,-8.55985941,158.1238234,1,0,0,1,0,0,0,0,0,3000,Weekly,Yes,Yes,Yes,Yes,No,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000737: ID000737,NFAC: Number of facilities,1,N: units,,,,,Hopongo,Aid post,-8.5624488,157.2006436,0,0,0,0,0,0,0,0,0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
